Instruction,Context,Response,Category
Use the Input and generate the suitable category name,"Thriller, Mystery, Crime, Detective",Mystery Genres,category_generation
Use the Input and generate the suitable category name,"Mercury, Venus, Earth, Mars",Inner Planets,category_generation
Use the Input and generate the suitable category name,"Batman, Superman, Iron Man, Wonder Woman",Superheroes,category_generation
Use the Input and generate the suitable category name,"Mercedes, Ferrari, Lamborghini, Porsche",Luxury Car Brands,category_generation
Use the Input and generate the suitable category name,"Tiger, Panther, Jaguar, Leopard",Big Wild Cats,category_generation
Use the Input and generate the suitable category name,"Android, iOS, Windows, Linux",Operating Systems,category_generation
Use the Input and generate the suitable category name,"Pop, Rock, Jazz, Classical",Music Genres,category_generation
Use the Input and generate the suitable keywords,Venice is known for its canals and gondolas.,"Venice, canals, gondolas",keywords_extraction
Use the Input and generate the suitable keywords,The Nile is the longest river in Africa.,"Nile, longest river, Africa",keywords_extraction
Use the Input and generate the suitable keywords,Tokyo is the capital of Japan.,"Tokyo, capital, Japan",keywords_extraction
Use the Input and generate the suitable keywords,Beethoven was a famous classical composer.,"Beethoven, famous, classical composer",keywords_extraction
Use the Input and generate the suitable keywords,Tacos are a traditional dish from Mexico.,"Tacos, traditional dish, Mexico",keywords_extraction
Use the Input and generate the suitable keywords,Basketball was invented by James Naismith.,"Basketball, invented, James Naismith",keywords_extraction
Use the Input and generate the suitable keywords,Mount Kilimanjaro is in Tanzania.,"Mount Kilimanjaro, Tanzania",keywords_extraction
Use the Input and generate the suitable keywords,The Sphinx is a historic monument in Egypt.,"Sphinx, historic monument, Egypt",keywords_extraction
Use the Input and generate the suitable keywords,Soccer is known as football outside the USA.,"Soccer, football, outside USA",keywords_extraction
Use the Input and generate the suitable keywords,The Louvre Museum is in Paris.,"Louvre Museum, Paris",keywords_extraction
Use the Input and group by similarity,"Rose, Sunflower, Oak, Pine, Daisy, Maple, Tulip, Cedar","[Rose, Sunflower, Daisy, Tulip], [Oak, Pine, Maple, Cedar]",group_by_similarity
Use the Input and group by similarity,"Python, Java, Peach, C++, Apple, Ruby, Pear, JavaScript","[Python, Java, C++, Ruby, JavaScript], [Peach, Apple, Pear]",group_by_similarity
Use the Input and group by similarity,"Saturn, Venus, Mars, Hammer, Jupiter, Nail, Mercury, Wrench","[Saturn, Venus, Mars, Jupiter, Mercury], [Hammer, Nail, Wrench]",group_by_similarity
Use the Input and group by similarity,"Guitar, Violin, Piano, Tiger, Flute, Lion, Trumpet, Cheetah","[Guitar, Violin, Piano, Flute, Trumpet], [Tiger, Lion, Cheetah]",group_by_similarity
Use the Input and group by similarity,"Orange, Strawberry, Carrot, Blueberry, Cucumber, Raspberry, Lettuce, Kiwi","[Orange, Strawberry, Blueberry, Raspberry, Kiwi], [Carrot, Cucumber, Lettuce]",group_by_similarity
Use the Input and group by similarity,"Fish, Bird, Whale, Crocodile, Parrot, Dolphin, Sparrow, Alligator","[Fish, Whale, Dolphin], [Bird, Parrot, Sparrow], [Crocodile, Alligator]",group_by_similarity
Use the Input and group by similarity,"Shirt, Pants, Shoes, Telescope, Hat, Socks, Microscope, Belt","[Shirt, Pants, Shoes, Hat, Socks, Belt], [Telescope, Microscope]",group_by_similarity
Use the Input and group by similarity,"Cake, Bread, Muffin, Chair, Pie, Table, Donut, Couch","[Cake, Bread, Muffin, Pie, Donut], [Chair, Table, Couch]",group_by_similarity
Use the Input and group by similarity,"Snow, Rain, Wind, Television, Thunder, Radio, Lightning, Broadcast","[Snow, Rain, Wind, Thunder, Lightning], [Television, Radio, Broadcast]",group_by_similarity
Use the Input and group by similarity,"Cat, Dog, Gold, Silver, Horse, Cow, Platinum, Bronze","[Cat, Dog, Horse, Cow], [Gold, Silver, Platinum, Bronze]",group_by_similarity
